"Invoice Type Configuration","Configuracion de Tipos de Factura"
"Show invoice selector in checkout","Mostrar seleccion de facturas"
"IVA Register Condition","Condición ante el IVA"
"Enable Invoice Types","Factulas habilitadas"
"Invoice Type", "Tipo de Factura"
"Invoicing", "Facturacion"
"Document Type", "Tipo de Documento"
"Document Number", "Numero de Documento"
